timestamp,can_id,message_count,longitudinal_accel_g,longitudinal_accel_status,imu_reset_status,temperature_c,temperature_status,yrs_type,msg_count,crc,raw_data_hex
1755699661.716063,320,2672,-0.031738784999999936,0,0,42,0,2,3,17,077F006E20000311
1755699661.725918,320,2673,-0.03199371499999959,0,0,42,0,2,4,248,057F006E200004F8
1755699661.735894,320,2674,-0.030973995000000087,0,0,42,0,2,5,55,0D7F006E20000537
1755699661.745909,320,2675,-0.030591600000000163,0,0,42,0,2,6,79,107F006E2000064F
1755699661.755889,320,2676,-0.031738784999999936,0,0,41,0,2,7,223,077F006D200007DF
1755699661.76608,320,2677,-0.03135639000000001,0,0,42,0,2,8,56,0A7F006E20000838
1755699661.776148,320,2678,-0.03148385500000028,0,0,42,0,2,9,194,097F006E200009C2
1755699661.786063,320,2679,-0.03135639000000001,0,0,42,0,2,10,2,0A7F006E20000A02
1755699661.795968,320,2680,-0.029571879999999773,0,0,42,0,2,11,28,187F006E20000B1C
1755699661.806126,320,2681,-0.026385255000000107,0,0,42,0,2,12,175,317F006E20000CAF
1755699661.816119,320,2682,-0.022688770000000247,0,0,42,0,2,13,230,4E7F006E20000DE6
1755699661.825995,320,2683,-0.02013947000000016,0,0,42,0,2,14,21,627F006E20000E15
1755699661.836016,320,2684,-0.020904260000000008,0,0,42,0,2,15,223,5C7F006E20000FDF
1755699661.846193,320,2685,-0.022306375000000322,0,0,42,0,2,0,130,517F006E20000082
1755699661.856044,320,2686,-0.021286654999999932,0,0,42,0,2,1,77,597F006E2000014D
1755699661.866151,320,2687,-0.017972564999999996,0,0,42,0,2,2,109,737F006E2000026D
1755699661.876099,320,2688,-0.016315520000000028,0,0,42,0,2,3,62,807F006E2000033E
1755699661.886083,320,2689,-0.017080309999999876,0,0,42,0,2,4,172,7A7F006E200004AC
1755699661.896097,320,2690,-0.015678194999999562,0,0,42,0,2,5,68,857F006E20000544
1755699661.905928,320,2691,-0.015295799999999637,0,0,42,0,2,6,133,887F006E20000685
1755699661.915994,320,2692,-0.016188054999999757,0,0,42,0,2,7,23,817F006E20000717
1755699661.925874,320,2693,-0.011981709999999701,0,0,42,0,2,8,36,A27F006E20000824
1755699661.935873,320,2694,-0.006373250000000219,0,0,42,0,2,9,51,CE7F006E20000933
1755699661.945873,320,2695,-0.0036964849999998606,0,0,42,0,2,10,157,E37F006E20000A9D
1755699661.955874,320,2696,-0.004333810000000327,0,0,42,0,2,11,176,DE7F006E20000BB0
1755699661.965872,320,2697,-0.007520434999999992,0,0,42,0,2,12,111,C57F006E20000C6F
1755699661.975872,320,2698,-0.008795085000000036,0,0,42,0,2,13,123,BB7F006E20000D7B
1755699661.985866,320,2699,-0.01019720000000035,0,0,42,0,2,14,105,B07F006E20000E69
1755699661.995872,320,2700,-0.011344385000000123,0,0,42,0,2,15,67,A77F006E20000F43
1755699662.005907,320,2701,-0.011726780000000048,0,0,42,0,2,0,31,A47F006E2000001F
1755699662.015901,320,2702,-0.015168335000000255,0,0,42,0,2,1,139,897F006E2000018B
1755699662.025865,320,2703,-0.017972564999999996,0,0,42,0,2,2,109,737F006E2000026D
1755699662.035872,320,2704,-0.017335240000000418,0,0,42,0,2,3,69,787F006E20000345
1755699662.045873,320,2705,-0.014913404999999713,0,0,42,0,2,4,88,8B7F006E20000458
1755699662.055868,320,2706,-0.01287396499999982,0,0,42,0,2,5,252,9B7F006E200005FC
1755699662.065874,320,2707,-0.012109174999999972,0,0,42,0,2,6,101,A17F006E20000665
1755699662.075868,320,2708,-0.012109174999999972,0,0,42,0,2,7,120,A17F006E20000778
1755699662.085892,320,2709,-0.012364104999999626,0,0,42,0,2,8,20,9F7F006E20000814
1755699662.095896,320,2710,-0.009942269999999809,0,0,42,0,2,9,128,B27F006E20000980
1755699662.106147,320,2711,-0.005098600000000175,0,0,42,0,2,10,126,D87F006E20000A7E
1755699662.11593,320,2712,-0.00012746500000027083,0,0,42,0,2,11,130,FF7F006E20000B82
1755699662.135955,320,2714,-0.0003823949999999243,0,0,42,0,2,13,118,FD7F006E20000D76
1755699662.145966,320,2715,-0.0036964849999998606,0,0,42,0,2,14,233,E37F006E20000EE9
1755699662.156217,320,2716,-0.009942269999999809,0,0,42,0,2,15,206,B27F006E20000FCE
1755699662.166004,320,2717,-0.011726780000000048,0,0,42,0,2,0,31,A47F006E2000001F
1755699662.176216,320,2718,-0.007520434999999992,0,0,42,0,2,1,238,C57F006E200001EE
1755699662.186229,320,2719,-0.00458873999999998,0,0,42,0,2,2,255,DC7F006E200002FF
1755699663.545608,320,2855,-0.003951415000000402,0,0,42,0,2,10,39,E17F006E20000A27
1755699663.555629,320,2856,-0.00828522499999984,0,0,42,0,2,11,92,BF7F006E20000B5C
1755699663.565652,320,2857,-0.007520434999999992,0,0,42,0,2,12,111,C57F006E20000C6F
1755699663.575654,320,2858,-0.0025493000000000876,0,0,42,0,2,13,146,EC7F006E20000D92
1755699663.595686,320,2860,-0.00012746500000027083,0,0,42,0,2,15,246,FF7F006E20000FF6
1755699663.605705,320,2861,-0.001147184999999773,0,0,42,0,2,0,159,F77F006E2000009F
1755699663.615872,320,2862,-0.00012746500000027083,0,0,42,0,2,1,80,FF7F006E20000150
1755699664.635267,320,2964,-0.00012746500000027083,0,0,42,0,2,7,30,FF7F006E2000071E
1755699664.665322,320,2967,-0.0003823949999999243,0,0,42,0,2,10,37,FD7F006E20000A25
